year,month,rank,RET
2006,2,3,0.013849967741935483
2006,2,4,-0.006855593750000001
2006,2,5,0.013375677419354838
2006,2,6,0.0029081612903225813
2006,2,7,-0.01103458064516129
2006,2,8,-0.006327741935483871
2006,2,9,0.00622946875
2006,2,diff,0.03847475
2006,3,0,0.036911624999999997
2006,3,1,0.04858858064516129
2006,3,2,0.05639148387096775
2006,3,3,0.03663806451612903
2006,3,4,0.06857446875
2006,3,5,0.02554293548387097
2006,3,6,0.05648738709677419
2006,3,7,0.03663777419354839
2006,3,8,0.030063290322580646
2006,3,9,0.008694624999999997
2006,3,diff,-0.028217
2006,4,0,0.07859640625
2006,4,1,-0.012025870967741936
2006,4,2,-0.008168
2006,4,3,0.032458258064516125
2006,4,4,0.004894548387096774
2006,4,5,0.008978
2006,4,6,-0.025134
2006,4,7,0.019533516129032254
2006,4,8,0.0006841612903225788
2006,4,9,0.021608903225806452
2006,4,diff,-0.056987503024193545
2006,5,0,-0.09632411764705882
2006,5,1,-0.06589454545454544
2006,5,2,-0.03321448484848485
2006,5,3,-0.024802454545454548
2006,5,4,-0.03975005882352941
2006,5,5,-0.047259242424242426
2006,5,6,-0.04515954545454545
2006,5,7,0.002284575757575756
2006,5,8,-0.03949757575757576
2006,5,9,-0.0009150882352941171
2006,5,diff,0.09540902941176471
2006,6,0,-0.042477181818181824
2006,6,1,-0.005211060606060607
2006,6,2,-0.03918863636363636
2006,6,3,-0.005352031250000001
2006,6,4,0.005515151515151515
2006,6,5,-0.022204545454545456
2006,6,6,0.004323718750000001
2006,6,7,0.02982430303030303
2006,6,8,0.004932030303030302
2006,6,9,-0.005497848484848484
2006,6,diff,0.036979333333333336
2006,7,0,-0.027859757575757576
2006,7,1,-0.04569209090909091
2006,7,2,-0.041528999999999996
2006,7,3,-0.0282379696969697
2006,7,4,-0.03138228125
2006,7,5,-0.02474442424242424
2006,7,6,-0.013991125000000002
2006,7,7,-0.031337666666666666
