year,month,Market,RiskfreeRate
1965,6,-0.0516,0.0035
1965,7,0.0174,0.0031
1965,8,0.0306,0.0033
1965,9,0.0317,0.0031
1965,10,0.0291,0.0031
1965,11,0.0032,0.0035
1965,12,0.0134,0.0033
1966,1,0.0110,0.0038
1966,2,-0.0086,0.0035
1966,3,-0.0213,0.0038
1966,4,0.0248,0.0034
1966,5,-0.0525,0.0041
1966,6,-0.0106,0.0038
1966,7,-0.0128,0.0035
1966,8,-0.0750,0.0041
1966,9,-0.0066,0.0040
1966,10,0.0431,0.0045
1966,11,0.0180,0.0040
1966,12,0.0053,0.0040
1967,1,0.0858,0.0043
1967,2,0.0114,0.0036
1967,3,0.0438,0.0039
1967,4,0.0421,0.0032
1967,5,-0.0400,0.0033
1967,6,0.0268,0.0027
1967,7,0.0489,0.0031
1967,8,-0.0058,0.0031
1967,9,0.0343,0.0032
1967,10,-0.0270,0.0039
1967,11,0.0073,0.0036
1967,12,0.0338,0.0033
1968,1,-0.0366,0.0040
1968,2,-0.0336,0.0039
1968,3,0.0058,0.0038
1968,4,0.0948,0.0043
1968,5,0.0273,0.0045
1968,6,0.0112,0.0043
1968,7,-0.0224,0.0048
1968,8,0.0176,0.0042
1968,9,0.0446,0.0043
1968,10,0.0086,0.0044
1968,11,0.0585,0.0042
1968,12,-0.0351,0.0043
1969,1,-0.0072,0.0053
1969,2,-0.0538,0.0046
1969,3,0.0310,0.0046
1969,4,0.0199,0.0053
1969,5,0.0038,0.0048
1969,6,-0.0667,0.0051
1969,7,-0.0647,0.0053
1969,8,0.0518,0.0050
1969,9,-0.0236,0.0062
1969,10,0.0566,0.0060
1969,11,-0.0327,0.0052
1969,12,-0.0199,0.0064
1970,1,-0.0750,0.0060
1970,2,0.0575,0.0062
1970,3,-0.0049,0.0057
1970,4,-0.1050,0.0050
1970,5,-0.0639,0.0053
1970,6,-0.0521,0.0058
1970,7,0.0745,0.0052
1970,8,0.0502,0.0053
1970,9,0.0472,0.0054
1970,10,-0.0182,0.0046
1970,11,0.0506,0.0046
1970,12,0.0614,0.0042
1971,1,0.0522,0.0038
1971,2,0.0174,0.0033
1971,3,0.0443,0.0030
1971,4,0.0343,0.0028
1971,5,-0.0369,0.0029
1971,6,0.0027,0.0037
1971,7,-0.0410,0.0040
1971,8,0.0426,0.0047
1971,9,-0.0048,0.0037
1971,10,-0.0405,0.0037
1971,11,-0.0009,0.0037
1971,12,0.0908,0.0037
1972,1,0.0278,0.0029
1972,2,0.0312,0.0025
1972,3,0.0090,0.0027
1972,4,0.0058,0.0029
1972,5,0.0155,0.0030
1972,6,-0.0214,0.0029
1972,7,-0.0049,0.0031
1972,8,0.0355,0.0029
1972,9,-0.0080,0.0034
1972,10,0.0092,0.0040
1972,11,0.0497,0.0037
1972,12,0.0099,0.0037
1973,1,-0.0285,0.0044
1973,2,-0.0444,0.0041
1973,3,-0.0084,0.0046
1973,4,-0.0516,0.0052
1973,5,-0.0243,0.0051
1973,6,-0.0106,0.0051
1973,7,0.0569,0.0064
1973,8,-0.0312,0.0070
1973,9,0.0543,0.0068
1973,10,-0.0018,0.0065
1973,11,-0.1219,0.0056
1973,12,0.0125,0.0064
1974,1,0.0046,0.0063
1974,2,0.0011,0.0058
1974,3,-0.0225,0.0056
1974,4,-0.0454,0.0075
1974,5,-0.0393,0.0075
1974,6,-0.0223,0.0060
1974,7,-0.0735,0.0070
1974,8,-0.0875,0.0060
1974,9,-0.1096,0.0081
1974,10,0.1661,0.0051
1974,11,-0.0397,0.0054
1974,12,-0.0275,0.0070
1975,1,0.1424,0.0058
1975,2,0.0599,0.0043
1975,3,0.0307,0.0041
1975,4,0.0467,0.0044
1975,5,0.0563,0.0044
1975,6,0.0524,0.0041
1975,7,-0.0611,0.0048
1975,8,-0.0237,0.0048
1975,9,-0.0373,0.0053
1975,10,0.0587,0.0056
1975,11,0.0305,0.0041
1975,12,-0.0112,0.0048
1976,1,0.1263,0.0047
1976,2,0.0066,0.0034
